,Label (Grouping),"Monterey County, California!!Total!!Estimate","Monterey County, California!!Male!!Estimate","Monterey County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.7%,14.7%,14.7%
22,    15 to 17 years,4.1%,4.1%,4.1%
23,    18 to 24 years,10.6%,11.0%,10.3%
24,    15 to 44 years,42.5%,44.1%,40.9%
25,    16 years and over,76.3%,76.1%,76.4%
26,    18 years and over,73.5%,73.5%,73.6%
27,    60 years and over,17.2%,15.7%,18.7%
28,    62 years and over,14.9%,13.2%,16.7%
29,    65 years and over,12.0%,10.5%,13.5%
30,    75 years and over,5.3%,4.2%,6.3%
