,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.0%,11.5%,10.6%
22,    15 to 17 years,3.4%,3.7%,3.1%
23,    18 to 24 years,15.1%,15.1%,15.1%
24,    15 to 44 years,41.8%,42.4%,41.3%
25,    16 years and over,82.6%,82.4%,82.9%
26,    18 years and over,80.3%,79.5%,81.1%
27,    60 years and over,21.6%,20.7%,22.5%
28,    62 years and over,18.7%,17.9%,19.6%
29,    65 years and over,14.9%,13.7%,16.0%
30,    75 years and over,5.6%,4.8%,6.4%
