,Label (Grouping),"Placer County, California!!Total!!Estimate","Placer County, California!!Male!!Estimate","Placer County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.3%,13.9%,12.7%
22,    15 to 17 years,4.2%,4.4%,4.1%
23,    18 to 24 years,7.8%,8.3%,7.3%
24,    15 to 44 years,35.9%,36.9%,34.8%
25,    16 years and over,79.8%,78.9%,80.7%
26,    18 years and over,77.0%,76.0%,78.0%
27,    60 years and over,24.1%,22.5%,25.6%
28,    62 years and over,21.5%,19.9%,23.1%
29,    65 years and over,17.9%,16.3%,19.3%
30,    75 years and over,7.8%,6.8%,8.8%
