,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,12.6%,11.7%
22,    15 to 17 years,4.2%,4.3%,4.1%
23,    18 to 24 years,7.8%,8.4%,7.2%
24,    15 to 44 years,32.9%,33.6%,32.2%
25,    16 years and over,81.8%,81.3%,82.3%
26,    18 years and over,79.0%,78.4%,79.6%
27,    60 years and over,25.8%,25.2%,26.3%
28,    62 years and over,22.7%,22.2%,23.2%
29,    65 years and over,17.9%,17.1%,18.6%
30,    75 years and over,7.0%,6.4%,7.6%
