,Label (Grouping),"San Benito County, California!!Total!!Estimate","San Benito County, California!!Male!!Estimate","San Benito County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.2%,16.8%,15.5%
22,    15 to 17 years,5.4%,5.3%,5.4%
23,    18 to 24 years,9.4%,10.0%,8.8%
24,    15 to 44 years,41.1%,41.5%,40.7%
25,    16 years and over,74.8%,74.2%,75.3%
26,    18 years and over,71.1%,70.5%,71.8%
27,    60 years and over,14.7%,14.0%,15.3%
28,    62 years and over,12.4%,11.7%,13.0%
29,    65 years and over,10.0%,9.2%,10.7%
30,    75 years and over,4.3%,3.6%,5.0%
