,Label (Grouping),"Tehama County, California!!Total!!Estimate","Tehama County, California!!Male!!Estimate","Tehama County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.8%,14.3%,13.2%
22,    15 to 17 years,4.2%,4.0%,4.3%
23,    18 to 24 years,8.0%,8.4%,7.6%
24,    15 to 44 years,35.1%,35.8%,34.4%
25,    16 years and over,78.8%,77.6%,79.9%
26,    18 years and over,75.9%,75.2%,76.7%
27,    60 years and over,24.8%,23.4%,26.1%
28,    62 years and over,22.2%,21.4%,23.1%
29,    65 years and over,17.9%,16.9%,18.9%
30,    75 years and over,7.4%,6.6%,8.3%
