,Label (Grouping),"Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.4%,15.9%,14.8%
22,    15 to 17 years,4.5%,4.3%,4.7%
23,    18 to 24 years,9.6%,10.1%,9.1%
24,    15 to 44 years,41.0%,41.6%,40.3%
25,    16 years and over,75.8%,75.2%,76.3%
26,    18 years and over,72.8%,72.3%,73.4%
27,    60 years and over,18.1%,16.9%,19.2%
28,    62 years and over,15.8%,14.8%,16.7%
29,    65 years and over,12.8%,11.5%,14.0%
30,    75 years and over,5.3%,4.4%,6.2%
