,Label (Grouping),"Plumas County, California!!Total!!Estimate","Plumas County, California!!Male!!Estimate","Plumas County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.0%,9.2%,8.8%
22,    15 to 17 years,2.9%,3.3%,2.4%
23,    18 to 24 years,6.1%,6.2%,6.1%
24,    15 to 44 years,28.7%,29.0%,28.3%
25,    16 years and over,85.5%,83.9%,87.1%
26,    18 years and over,83.4%,81.8%,85.1%
27,    60 years and over,35.4%,33.4%,37.4%
28,    62 years and over,30.9%,29.6%,32.1%
29,    65 years and over,24.9%,24.3%,25.5%
30,    75 years and over,9.2%,8.4%,10.0%
