,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.0%,11.4%,10.6%
22,    15 to 17 years,3.2%,4.7%,1.6%
23,    18 to 24 years,5.7%,5.8%,5.6%
24,    15 to 44 years,29.7%,31.9%,27.4%
25,    16 years and over,84.7%,83.7%,85.7%
26,    18 years and over,82.1%,80.0%,84.3%
27,    60 years and over,35.3%,32.9%,37.6%
28,    62 years and over,31.9%,31.4%,32.4%
29,    65 years and over,25.9%,24.5%,27.3%
30,    75 years and over,10.0%,8.5%,11.6%
