,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.8%,12.4%,11.3%
22,    15 to 17 years,3.4%,3.1%,3.6%
23,    18 to 24 years,6.2%,6.5%,6.0%
24,    15 to 44 years,32.6%,33.9%,31.4%
25,    16 years and over,81.7%,80.8%,82.5%
26,    18 years and over,79.5%,78.8%,80.1%
27,    60 years and over,26.2%,24.1%,28.2%
28,    62 years and over,22.9%,21.1%,24.6%
29,    65 years and over,18.2%,16.6%,19.8%
30,    75 years and over,7.9%,6.8%,9.0%
