,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.6%,14.2%,13.0%
22,    15 to 17 years,4.1%,4.3%,3.9%
23,    18 to 24 years,9.4%,9.9%,9.1%
24,    15 to 44 years,41.7%,42.7%,40.7%
25,    16 years and over,78.4%,77.4%,79.4%
26,    18 years and over,75.6%,74.5%,76.6%
27,    60 years and over,18.3%,16.5%,20.1%
28,    62 years and over,16.0%,14.2%,17.6%
29,    65 years and over,12.8%,11.2%,14.3%
30,    75 years and over,5.5%,4.5%,6.5%
