,Label (Grouping),"Kern County, California!!Total!!Estimate","Kern County, California!!Male!!Estimate","Kern County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.3%,16.1%,16.5%
22,    15 to 17 years,5.2%,5.2%,5.2%
23,    18 to 24 years,11.2%,11.8%,10.5%
24,    15 to 44 years,43.8%,45.6%,42.0%
25,    16 years and over,73.2%,73.5%,73.0%
26,    18 years and over,69.8%,70.1%,69.4%
27,    60 years and over,13.2%,11.8%,14.7%
28,    62 years and over,11.4%,10.2%,12.8%
29,    65 years and over,9.1%,7.9%,10.3%
30,    75 years and over,3.8%,3.1%,4.6%
