,Label (Grouping),"Calaveras County, California!!Total!!Estimate","Calaveras County, California!!Male!!Estimate","Calaveras County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.1%,10.6%,9.6%
22,    15 to 17 years,3.8%,4.2%,3.3%
23,    18 to 24 years,6.5%,6.8%,6.1%
24,    15 to 44 years,27.7%,28.6%,26.8%
25,    16 years and over,84.5%,84.3%,84.7%
26,    18 years and over,82.0%,81.8%,82.3%
27,    60 years and over,34.4%,34.0%,34.8%
28,    62 years and over,30.9%,30.6%,31.1%
29,    65 years and over,25.1%,25.0%,25.2%
30,    75 years and over,9.3%,9.0%,9.6%
