,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.5%,13.0%,12.0%
22,    15 to 17 years,4.0%,4.1%,3.9%
23,    18 to 24 years,9.5%,9.8%,9.2%
24,    15 to 44 years,40.8%,41.8%,39.9%
25,    16 years and over,80.4%,79.6%,81.1%
26,    18 years and over,77.5%,76.7%,78.3%
27,    60 years and over,19.7%,18.0%,21.4%
28,    62 years and over,17.2%,15.5%,18.9%
29,    65 years and over,14.0%,12.5%,15.4%
30,    75 years and over,6.1%,5.1%,7.0%
