,Label (Grouping),"Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.8%,11.0%,10.6%
22,    15 to 17 years,3.3%,3.2%,3.3%
23,    18 to 24 years,13.2%,13.2%,13.2%
24,    15 to 44 years,42.2%,43.5%,41.0%
25,    16 years and over,82.7%,82.5%,82.8%
26,    18 years and over,80.5%,80.3%,80.7%
27,    60 years and over,22.2%,20.5%,24.0%
28,    62 years and over,19.2%,17.8%,20.5%
29,    65 years and over,15.4%,14.2%,16.5%
30,    75 years and over,6.1%,5.1%,7.1%
