,Label (Grouping),"Alpine County, California!!Total!!Estimate","Alpine County, California!!Male!!Estimate","Alpine County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.2%,11.4%,11.0%
22,    15 to 17 years,7.6%,7.8%,7.3%
23,    18 to 24 years,10.1%,13.4%,5.5%
24,    15 to 44 years,37.8%,39.5%,35.6%
25,    16 years and over,81.7%,79.8%,84.3%
26,    18 years and over,76.9%,76.0%,78.0%
27,    60 years and over,27.7%,27.5%,28.0%
28,    62 years and over,24.7%,24.1%,25.4%
29,    65 years and over,20.8%,19.7%,22.4%
30,    75 years and over,8.1%,9.4%,6.3%
