,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.0%,12.5%,11.5%
22,    15 to 17 years,3.7%,3.8%,3.6%
23,    18 to 24 years,9.6%,9.8%,9.3%
24,    15 to 44 years,38.2%,39.9%,36.6%
25,    16 years and over,81.2%,80.6%,81.9%
26,    18 years and over,78.7%,77.9%,79.4%
27,    60 years and over,22.3%,20.6%,23.9%
28,    62 years and over,19.1%,17.6%,20.5%
29,    65 years and over,15.2%,13.4%,16.9%
30,    75 years and over,6.7%,5.3%,8.0%
