,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.2%,17.6%,16.9%
22,    15 to 17 years,5.3%,5.4%,5.2%
23,    18 to 24 years,12.4%,12.6%,12.1%
24,    15 to 44 years,43.5%,44.3%,42.7%
25,    16 years and over,72.8%,72.4%,73.2%
26,    18 years and over,69.2%,68.5%,69.9%
27,    60 years and over,14.2%,13.2%,15.2%
28,    62 years and over,12.3%,11.7%,13.0%
29,    65 years and over,10.0%,8.7%,11.3%
30,    75 years and over,4.2%,3.4%,5.0%
