,Label (Grouping),"San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.9%,16.4%,15.5%
22,    15 to 17 years,5.3%,5.5%,5.2%
23,    18 to 24 years,11.3%,11.8%,10.8%
24,    15 to 44 years,44.0%,44.8%,43.3%
25,    16 years and over,74.6%,73.9%,75.2%
26,    18 years and over,70.9%,70.1%,71.7%
27,    60 years and over,13.3%,12.2%,14.4%
28,    62 years and over,11.4%,10.3%,12.5%
29,    65 years and over,9.0%,8.0%,10.0%
30,    75 years and over,3.8%,3.1%,4.6%
