,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.5%,11.9%,11.1%
22,    15 to 17 years,3.8%,4.0%,3.7%
23,    18 to 24 years,15.1%,15.8%,14.4%
24,    15 to 44 years,41.4%,43.2%,39.6%
25,    16 years and over,81.9%,81.4%,82.4%
26,    18 years and over,79.1%,78.4%,79.8%
27,    60 years and over,21.8%,19.8%,23.8%
28,    62 years and over,19.2%,17.3%,21.1%
29,    65 years and over,15.5%,13.7%,17.3%
30,    75 years and over,7.6%,6.2%,8.9%
