,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.4%,14.1%,12.9%
22,    15 to 17 years,4.0%,4.1%,3.8%
23,    18 to 24 years,8.8%,9.3%,8.4%
24,    15 to 44 years,41.3%,42.3%,40.3%
25,    16 years and over,78.7%,77.7%,79.8%
26,    18 years and over,76.0%,75.0%,77.0%
27,    60 years and over,19.4%,17.6%,21.2%
28,    62 years and over,17.0%,15.2%,18.6%
29,    65 years and over,13.6%,12.1%,15.1%
30,    75 years and over,5.7%,4.7%,6.7%
