,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.3%,10.2%,10.4%
22,    15 to 17 years,3.5%,3.6%,3.4%
23,    18 to 24 years,15.1%,16.3%,13.8%
24,    15 to 44 years,41.3%,43.8%,38.6%
25,    16 years and over,83.6%,83.5%,83.6%
26,    18 years and over,81.2%,81.2%,81.2%
27,    60 years and over,21.7%,19.7%,23.9%
28,    62 years and over,19.0%,17.1%,21.1%
29,    65 years and over,15.4%,13.5%,17.3%
30,    75 years and over,7.4%,6.0%,8.8%
