,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.1%,16.7%,15.5%
22,    15 to 17 years,4.9%,5.1%,4.7%
23,    18 to 24 years,10.5%,10.9%,10.0%
24,    15 to 44 years,41.7%,42.5%,40.8%
25,    16 years and over,74.4%,73.8%,75.1%
26,    18 years and over,71.3%,70.4%,72.1%
27,    60 years and over,16.0%,14.5%,17.5%
28,    62 years and over,13.9%,12.5%,15.3%
29,    65 years and over,11.0%,9.7%,12.3%
30,    75 years and over,4.9%,3.9%,5.8%
