,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.6%,16.0%,15.3%
22,    15 to 17 years,4.7%,4.9%,4.6%
23,    18 to 24 years,9.8%,10.2%,9.3%
24,    15 to 44 years,41.2%,42.2%,40.1%
25,    16 years and over,75.7%,74.9%,76.5%
26,    18 years and over,72.6%,71.8%,73.3%
27,    60 years and over,17.6%,15.8%,19.4%
28,    62 years and over,15.2%,13.5%,16.9%
29,    65 years and over,12.4%,10.9%,13.8%
30,    75 years and over,5.0%,4.1%,6.0%
