,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.2%,11.5%,10.8%
22,    15 to 17 years,3.5%,3.6%,3.3%
23,    18 to 24 years,15.1%,15.2%,15.1%
24,    15 to 44 years,42.6%,43.5%,41.8%
25,    16 years and over,82.2%,81.7%,82.7%
26,    18 years and over,79.9%,79.2%,80.5%
27,    60 years and over,20.1%,19.2%,21.0%
28,    62 years and over,17.2%,16.1%,18.3%
29,    65 years and over,13.5%,12.3%,14.7%
30,    75 years and over,5.3%,4.2%,6.3%
