,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.2%,17.5%,16.9%
22,    15 to 17 years,5.5%,5.7%,5.3%
23,    18 to 24 years,11.9%,12.3%,11.5%
24,    15 to 44 years,43.7%,44.7%,42.7%
25,    16 years and over,72.2%,71.7%,72.8%
26,    18 years and over,68.6%,68.0%,69.2%
27,    60 years and over,13.4%,12.1%,14.7%
28,    62 years and over,11.7%,10.6%,12.8%
29,    65 years and over,9.5%,8.3%,10.6%
30,    75 years and over,4.2%,3.4%,5.0%
