,Label (Grouping),"Solano County, California!!Total!!Estimate","Solano County, California!!Male!!Estimate","Solano County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.9%,13.2%,12.5%
22,    15 to 17 years,4.0%,4.0%,3.9%
23,    18 to 24 years,9.7%,10.4%,8.9%
24,    15 to 44 years,40.1%,41.6%,38.7%
25,    16 years and over,79.7%,79.2%,80.1%
26,    18 years and over,77.0%,76.4%,77.6%
27,    60 years and over,19.9%,18.1%,21.7%
28,    62 years and over,17.3%,15.6%,18.9%
29,    65 years and over,13.6%,12.0%,15.1%
30,    75 years and over,5.5%,4.5%,6.5%
