,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.1%,13.6%,16.9%
22,    15 to 17 years,4.4%,3.8%,5.1%
23,    18 to 24 years,10.7%,11.0%,10.4%
24,    15 to 44 years,46.6%,49.3%,43.2%
25,    16 years and over,75.4%,77.7%,72.5%
26,    18 years and over,72.5%,75.2%,69.1%
27,    60 years and over,11.9%,10.0%,14.2%
28,    62 years and over,10.6%,9.1%,12.5%
29,    65 years and over,8.5%,6.9%,10.6%
30,    75 years and over,3.7%,2.6%,5.1%
