,Label (Grouping),"Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.5%,13.0%,12.1%
22,    15 to 17 years,4.0%,4.2%,3.9%
23,    18 to 24 years,10.4%,10.7%,10.1%
24,    15 to 44 years,43.9%,45.0%,42.8%
25,    16 years and over,79.9%,79.2%,80.6%
26,    18 years and over,77.2%,76.3%,78.0%
27,    60 years and over,17.4%,15.6%,19.1%
28,    62 years and over,15.1%,13.4%,16.8%
29,    65 years and over,12.2%,10.7%,13.7%
30,    75 years and over,5.4%,4.4%,6.4%
