,Label (Grouping),"Placer County, California!!Total!!Estimate","Placer County, California!!Male!!Estimate","Placer County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.9%,14.4%,13.3%
22,    15 to 17 years,4.5%,4.7%,4.3%
23,    18 to 24 years,7.8%,8.3%,7.2%
24,    15 to 44 years,36.8%,37.7%,35.9%
25,    16 years and over,78.7%,77.8%,79.6%
26,    18 years and over,75.7%,74.7%,76.7%
27,    60 years and over,21.6%,20.0%,23.1%
28,    62 years and over,19.2%,17.6%,20.7%
29,    65 years and over,15.6%,14.1%,16.9%
30,    75 years and over,7.1%,6.1%,8.1%
