,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.8%,13.3%,12.3%
22,    15 to 17 years,4.5%,4.6%,4.3%
23,    18 to 24 years,8.1%,9.0%,7.2%
24,    15 to 44 years,33.1%,33.7%,32.6%
25,    16 years and over,81.9%,81.5%,82.3%
26,    18 years and over,78.3%,77.5%,79.1%
27,    60 years and over,24.4%,23.8%,25.0%
28,    62 years and over,21.2%,20.4%,22.1%
29,    65 years and over,16.7%,15.8%,17.6%
30,    75 years and over,6.8%,6.2%,7.4%
