,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,12.6%,11.7%
22,    15 to 17 years,3.5%,3.6%,3.3%
23,    18 to 24 years,7.6%,8.1%,7.0%
24,    15 to 44 years,39.9%,41.2%,38.6%
25,    16 years and over,80.4%,79.4%,81.4%
26,    18 years and over,78.2%,77.2%,79.1%
27,    60 years and over,19.7%,17.8%,21.5%
28,    62 years and over,17.3%,15.5%,19.0%
29,    65 years and over,13.9%,12.1%,15.7%
30,    75 years and over,6.5%,5.2%,7.7%
