,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.2%,13.6%,12.7%
22,    15 to 17 years,4.3%,4.4%,4.2%
23,    18 to 24 years,10.3%,10.6%,9.9%
24,    15 to 44 years,42.4%,43.4%,41.4%
25,    16 years and over,79.1%,78.5%,79.6%
26,    18 years and over,76.2%,75.4%,77.0%
27,    60 years and over,17.3%,15.5%,19.1%
28,    62 years and over,15.1%,13.5%,16.8%
29,    65 years and over,12.3%,10.9%,13.7%
30,    75 years and over,5.6%,4.6%,6.5%
