,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.6%,11.8%,11.5%
22,    15 to 17 years,4.0%,4.7%,3.4%
23,    18 to 24 years,7.5%,7.9%,7.1%
24,    15 to 44 years,33.0%,33.9%,32.1%
25,    16 years and over,81.3%,81.2%,81.5%
26,    18 years and over,78.8%,77.7%,80.0%
27,    60 years and over,26.3%,25.6%,26.9%
28,    62 years and over,23.1%,22.5%,23.8%
29,    65 years and over,17.7%,16.8%,18.6%
30,    75 years and over,7.5%,6.5%,8.4%
