,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.6%,16.4%,14.8%
22,    15 to 17 years,4.8%,5.3%,4.4%
23,    18 to 24 years,10.3%,11.0%,9.6%
24,    15 to 44 years,41.5%,41.3%,41.7%
25,    16 years and over,74.8%,74.0%,75.7%
26,    18 years and over,71.6%,70.0%,73.0%
27,    60 years and over,16.6%,15.8%,17.3%
28,    62 years and over,14.5%,14.0%,15.0%
29,    65 years and over,11.6%,11.2%,11.9%
30,    75 years and over,4.9%,4.6%,5.3%
