,Label (Grouping),"Siskiyou County, California!!Total!!Estimate","Siskiyou County, California!!Male!!Estimate","Siskiyou County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.4%,11.7%,11.2%
22,    15 to 17 years,3.6%,3.8%,3.4%
23,    18 to 24 years,7.1%,7.8%,6.4%
24,    15 to 44 years,30.3%,31.7%,29.0%
25,    16 years and over,82.2%,81.7%,82.6%
26,    18 years and over,79.8%,79.5%,80.0%
27,    60 years and over,31.6%,30.9%,32.3%
28,    62 years and over,27.9%,27.7%,28.2%
29,    65 years and over,22.8%,22.4%,23.1%
30,    75 years and over,8.9%,8.1%,9.6%
