,Label (Grouping),"Inyo County, California!!Total!!Estimate","Inyo County, California!!Male!!Estimate","Inyo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.0%,11.3%,10.7%
22,    15 to 17 years,3.7%,3.9%,3.6%
23,    18 to 24 years,7.2%,7.4%,7.0%
24,    15 to 44 years,32.7%,33.7%,31.7%
25,    16 years and over,81.9%,81.7%,82.0%
26,    18 years and over,79.4%,78.8%,80.0%
27,    60 years and over,30.4%,29.1%,31.7%
28,    62 years and over,26.4%,25.4%,27.3%
29,    65 years and over,21.6%,20.4%,22.8%
30,    75 years and over,9.8%,8.6%,11.1%
