,Label (Grouping),"Shasta County, California!!Total!!Estimate","Shasta County, California!!Male!!Estimate","Shasta County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.0%,12.5%,11.5%
22,    15 to 17 years,3.8%,4.2%,3.5%
23,    18 to 24 years,8.5%,8.7%,8.2%
24,    15 to 44 years,35.0%,36.3%,33.8%
25,    16 years and over,80.9%,80.2%,81.6%
26,    18 years and over,78.3%,77.4%,79.3%
27,    60 years and over,26.6%,25.2%,28.0%
28,    62 years and over,23.6%,22.2%,25.0%
29,    65 years and over,19.3%,18.0%,20.5%
30,    75 years and over,8.1%,7.0%,9.1%
