,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.8%,16.4%,15.3%
22,    15 to 17 years,4.4%,4.7%,4.1%
23,    18 to 24 years,10.4%,10.4%,10.5%
24,    15 to 44 years,40.7%,40.3%,41.1%
25,    16 years and over,75.4%,74.8%,76.0%
26,    18 years and over,72.5%,71.3%,73.6%
27,    60 years and over,18.3%,18.4%,18.1%
28,    62 years and over,16.1%,16.0%,16.1%
29,    65 years and over,13.2%,13.4%,13.1%
30,    75 years and over,4.9%,4.7%,5.2%
