,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.1%,13.4%,12.9%
22,    15 to 17 years,3.9%,3.9%,3.8%
23,    18 to 24 years,8.9%,9.4%,8.4%
24,    15 to 44 years,43.6%,44.7%,42.4%
25,    16 years and over,78.6%,78.2%,79.0%
26,    18 years and over,76.0%,75.5%,76.5%
27,    60 years and over,15.8%,14.2%,17.5%
28,    62 years and over,13.8%,12.2%,15.4%
29,    65 years and over,11.1%,9.7%,12.6%
30,    75 years and over,5.1%,4.2%,6.1%
