,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.9%,16.5%,13.4%
22,    15 to 17 years,4.1%,4.4%,3.8%
23,    18 to 24 years,10.2%,11.3%,9.0%
24,    15 to 44 years,39.3%,40.0%,38.6%
25,    16 years and over,77.1%,75.6%,78.6%
26,    18 years and over,74.2%,72.5%,75.9%
27,    60 years and over,21.3%,19.6%,23.1%
28,    62 years and over,18.5%,16.8%,20.2%
29,    65 years and over,15.0%,13.8%,16.2%
30,    75 years and over,7.2%,6.0%,8.4%
