,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.3%,12.6%,12.1%
22,    15 to 17 years,4.1%,4.3%,4.0%
23,    18 to 24 years,15.3%,15.7%,14.9%
24,    15 to 44 years,44.7%,46.5%,42.9%
25,    16 years and over,79.8%,79.4%,80.1%
26,    18 years and over,77.0%,76.5%,77.5%
27,    60 years and over,17.9%,16.1%,19.6%
28,    62 years and over,15.7%,13.8%,17.6%
29,    65 years and over,13.0%,11.2%,14.7%
30,    75 years and over,6.6%,5.3%,7.8%
