,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.1%,15.5%,14.7%
22,    15 to 17 years,4.8%,5.0%,4.5%
23,    18 to 24 years,9.8%,10.4%,9.3%
24,    15 to 44 years,40.7%,41.6%,39.8%
25,    16 years and over,76.0%,75.2%,76.8%
26,    18 years and over,72.6%,71.6%,73.6%
27,    60 years and over,18.0%,16.0%,20.0%
28,    62 years and over,15.9%,13.9%,17.8%
29,    65 years and over,12.8%,11.4%,14.3%
30,    75 years and over,5.7%,4.6%,6.9%
