,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.8%,12.5%,11.1%
22,    15 to 17 years,3.3%,3.5%,3.1%
23,    18 to 24 years,14.7%,14.9%,14.6%
24,    15 to 44 years,40.5%,41.8%,39.3%
25,    16 years and over,82.0%,80.8%,83.3%
26,    18 years and over,79.9%,78.6%,81.1%
27,    60 years and over,24.2%,22.3%,26.0%
28,    62 years and over,21.7%,19.7%,23.7%
29,    65 years and over,18.1%,16.3%,19.8%
30,    75 years and over,7.6%,6.3%,8.8%
