,Label (Grouping),"Monterey County, California!!Total!!Estimate","Monterey County, California!!Male!!Estimate","Monterey County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.6%,14.7%,14.4%
22,    15 to 17 years,4.2%,4.2%,4.2%
23,    18 to 24 years,11.1%,11.6%,10.6%
24,    15 to 44 years,43.2%,45.0%,41.3%
25,    16 years and over,76.1%,75.9%,76.4%
26,    18 years and over,73.3%,73.2%,73.4%
27,    60 years and over,16.4%,14.7%,18.2%
28,    62 years and over,14.4%,12.6%,16.3%
29,    65 years and over,11.2%,9.6%,12.8%
30,    75 years and over,5.2%,4.1%,6.4%
