,Label (Grouping),"Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.7%,16.3%,15.2%
22,    15 to 17 years,5.1%,5.4%,4.8%
23,    18 to 24 years,10.5%,10.8%,10.2%
24,    15 to 44 years,42.2%,43.1%,41.3%
25,    16 years and over,74.9%,74.0%,75.7%
26,    18 years and over,71.4%,70.4%,72.5%
27,    60 years and over,15.3%,13.8%,16.7%
28,    62 years and over,13.4%,11.9%,14.8%
29,    65 years and over,10.8%,9.4%,12.1%
30,    75 years and over,4.9%,3.9%,5.9%
