,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.3%,17.5%,15.2%
22,    15 to 17 years,4.0%,3.1%,4.8%
23,    18 to 24 years,9.7%,9.9%,9.5%
24,    15 to 44 years,41.7%,42.0%,41.4%
25,    16 years and over,73.8%,72.7%,75.0%
26,    18 years and over,72.1%,71.7%,72.6%
27,    60 years and over,16.9%,16.5%,17.3%
28,    62 years and over,14.4%,14.4%,14.4%
29,    65 years and over,10.8%,10.9%,10.8%
30,    75 years and over,3.9%,3.4%,4.5%
