,Label (Grouping),"Modoc County, California!!Total!!Estimate","Modoc County, California!!Male!!Estimate","Modoc County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,13.2%,11.0%
22,    15 to 17 years,3.7%,4.1%,3.2%
23,    18 to 24 years,6.0%,5.3%,6.6%
24,    15 to 44 years,30.5%,30.6%,30.4%
25,    16 years and over,82.9%,81.5%,84.3%
26,    18 years and over,79.9%,78.5%,81.5%
27,    60 years and over,33.2%,32.4%,33.9%
28,    62 years and over,29.4%,28.5%,30.4%
29,    65 years and over,23.1%,22.7%,23.6%
30,    75 years and over,9.3%,8.9%,9.8%
