,Label (Grouping),"Sierra County, California!!Total!!Estimate","Sierra County, California!!Male!!Estimate","Sierra County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.7%,10.5%,8.9%
22,    15 to 17 years,1.3%,2.1%,0.5%
23,    18 to 24 years,4.3%,4.1%,4.4%
24,    15 to 44 years,23.1%,21.7%,24.5%
25,    16 years and over,86.6%,87.0%,86.2%
26,    18 years and over,85.5%,84.8%,86.2%
27,    60 years and over,34.4%,36.7%,32.2%
28,    62 years and over,32.4%,33.9%,31.0%
29,    65 years and over,26.1%,26.3%,25.8%
30,    75 years and over,9.5%,8.5%,10.4%
