,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.3%,12.4%,12.2%
22,    15 to 17 years,3.7%,3.9%,3.6%
23,    18 to 24 years,16.0%,16.3%,15.7%
24,    15 to 44 years,44.3%,46.0%,42.5%
25,    16 years and over,79.9%,79.7%,80.2%
26,    18 years and over,77.5%,77.1%,77.9%
27,    60 years and over,19.2%,17.4%,21.0%
28,    62 years and over,16.9%,15.1%,18.7%
29,    65 years and over,14.0%,12.4%,15.6%
30,    75 years and over,6.6%,5.5%,7.8%
