,Label (Grouping),"Tuolumne County, California!!Total!!Estimate","Tuolumne County, California!!Male!!Estimate","Tuolumne County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.6%,9.3%,9.8%
22,    15 to 17 years,3.5%,3.3%,3.6%
23,    18 to 24 years,7.9%,8.7%,7.0%
24,    15 to 44 years,32.8%,36.2%,28.9%
25,    16 years and over,84.4%,84.6%,84.1%
26,    18 years and over,82.6%,82.9%,82.2%
27,    60 years and over,28.8%,26.8%,31.0%
28,    62 years and over,25.6%,23.7%,27.7%
29,    65 years and over,20.7%,18.4%,23.2%
30,    75 years and over,9.2%,7.9%,10.7%
