,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.7%,12.2%,11.2%
22,    15 to 17 years,3.6%,3.8%,3.5%
23,    18 to 24 years,8.9%,9.3%,8.6%
24,    15 to 44 years,37.7%,39.2%,36.3%
25,    16 years and over,81.7%,80.9%,82.5%
26,    18 years and over,79.4%,78.5%,80.2%
27,    60 years and over,24.1%,22.3%,25.8%
28,    62 years and over,20.9%,19.2%,22.7%
29,    65 years and over,16.7%,15.0%,18.4%
30,    75 years and over,6.8%,5.5%,8.0%
