,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.5%,11.9%,11.1%
22,    15 to 17 years,3.8%,3.9%,3.6%
23,    18 to 24 years,14.4%,14.8%,14.0%
24,    15 to 44 years,43.3%,44.4%,42.2%
25,    16 years and over,81.6%,81.1%,82.1%
26,    18 years and over,79.0%,78.3%,79.6%
27,    60 years and over,17.3%,16.0%,18.7%
28,    62 years and over,14.4%,12.9%,15.9%
29,    65 years and over,11.3%,9.9%,12.8%
30,    75 years and over,5.1%,3.9%,6.3%
