,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.5%,11.9%,11.1%
22,    15 to 17 years,3.4%,3.6%,3.2%
23,    18 to 24 years,8.3%,8.6%,8.1%
24,    15 to 44 years,37.1%,38.5%,35.7%
25,    16 years and over,82.1%,81.5%,82.7%
26,    18 years and over,80.0%,79.2%,80.8%
27,    60 years and over,26.2%,24.2%,28.1%
28,    62 years and over,23.1%,21.1%,25.0%
29,    65 years and over,18.3%,16.6%,20.0%
30,    75 years and over,7.1%,5.8%,8.3%
