,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.6%,15.5%,15.7%
22,    15 to 17 years,4.8%,4.9%,4.6%
23,    18 to 24 years,11.1%,11.8%,10.3%
24,    15 to 44 years,42.0%,44.6%,39.4%
25,    16 years and over,74.5%,74.6%,74.4%
26,    18 years and over,71.3%,71.3%,71.3%
27,    60 years and over,16.6%,14.7%,18.6%
28,    62 years and over,14.8%,13.1%,16.6%
29,    65 years and over,11.9%,10.4%,13.5%
30,    75 years and over,5.4%,4.5%,6.2%
