,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.2%,13.4%,12.9%
22,    15 to 17 years,3.8%,3.8%,3.7%
23,    18 to 24 years,8.8%,9.2%,8.4%
24,    15 to 44 years,43.0%,44.1%,41.8%
25,    16 years and over,78.8%,78.5%,79.2%
26,    18 years and over,76.4%,75.9%,76.8%
27,    60 years and over,16.5%,14.7%,18.3%
28,    62 years and over,14.4%,12.7%,16.1%
29,    65 years and over,11.6%,10.2%,13.1%
30,    75 years and over,5.2%,4.3%,6.2%
