,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.7%,16.4%,15.1%
22,    15 to 17 years,4.5%,4.8%,4.2%
23,    18 to 24 years,10.1%,10.6%,9.7%
24,    15 to 44 years,40.9%,40.6%,41.3%
25,    16 years and over,75.3%,74.2%,76.3%
26,    18 years and over,72.2%,70.8%,73.5%
27,    60 years and over,18.1%,18.0%,18.2%
28,    62 years and over,15.9%,15.7%,16.0%
29,    65 years and over,12.9%,12.6%,13.1%
30,    75 years and over,5.2%,4.9%,5.4%
