,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.0%,17.2%,16.7%
22,    15 to 17 years,5.1%,5.2%,4.9%
23,    18 to 24 years,11.8%,12.0%,11.5%
24,    15 to 44 years,43.2%,44.1%,42.2%
25,    16 years and over,73.3%,72.9%,73.7%
26,    18 years and over,69.9%,69.4%,70.3%
27,    60 years and over,14.8%,13.6%,15.9%
28,    62 years and over,12.9%,11.9%,13.8%
29,    65 years and over,10.5%,9.4%,11.5%
30,    75 years and over,4.4%,3.7%,5.2%
