,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.9%,12.3%,11.5%
22,    15 to 17 years,3.9%,4.1%,3.7%
23,    18 to 24 years,19.8%,19.5%,20.0%
24,    15 to 44 years,48.9%,49.8%,48.0%
25,    16 years and over,81.3%,80.8%,81.8%
26,    18 years and over,78.6%,77.9%,79.2%
27,    60 years and over,15.4%,14.1%,16.8%
28,    62 years and over,14.1%,13.0%,15.1%
29,    65 years and over,11.0%,10.0%,11.9%
30,    75 years and over,4.5%,4.1%,5.0%
