,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.9%,17.4%,14.5%
22,    15 to 17 years,4.6%,5.0%,4.3%
23,    18 to 24 years,10.2%,11.3%,9.2%
24,    15 to 44 years,41.1%,40.6%,41.5%
25,    16 years and over,74.6%,73.0%,76.1%
26,    18 years and over,71.5%,69.4%,73.5%
27,    60 years and over,17.5%,16.7%,18.2%
28,    62 years and over,15.6%,15.2%,16.0%
29,    65 years and over,12.0%,11.5%,12.4%
30,    75 years and over,5.0%,4.6%,5.3%
