,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.6%,18.1%,17.2%
22,    15 to 17 years,5.1%,5.1%,5.0%
23,    18 to 24 years,10.2%,10.5%,9.9%
24,    15 to 44 years,41.7%,42.3%,41.1%
25,    16 years and over,72.4%,71.7%,73.1%
26,    18 years and over,68.7%,68.3%,69.2%
27,    60 years and over,15.4%,14.6%,16.1%
28,    62 years and over,13.3%,12.5%,14.2%
29,    65 years and over,10.9%,9.9%,11.9%
30,    75 years and over,4.5%,3.9%,5.1%
