,Label (Grouping),"Del Norte County, California!!Total!!Estimate","Del Norte County, California!!Male!!Estimate","Del Norte County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.6%,10.3%,13.2%
22,    15 to 17 years,3.7%,3.8%,3.6%
23,    18 to 24 years,8.6%,9.6%,7.4%
24,    15 to 44 years,39.2%,45.0%,32.1%
25,    16 years and over,81.0%,82.1%,79.5%
26,    18 years and over,78.8%,80.0%,77.3%
27,    60 years and over,21.9%,19.4%,24.9%
28,    62 years and over,18.9%,16.7%,21.6%
29,    65 years and over,15.3%,13.4%,17.5%
30,    75 years and over,6.1%,4.9%,7.6%
