,Label (Grouping),"Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,12.6%,11.8%
22,    15 to 17 years,3.8%,4.0%,3.7%
23,    18 to 24 years,9.9%,10.2%,9.7%
24,    15 to 44 years,43.3%,44.4%,42.2%
25,    16 years and over,80.4%,79.7%,81.1%
26,    18 years and over,77.8%,76.9%,78.6%
27,    60 years and over,18.3%,16.5%,20.1%
28,    62 years and over,15.9%,14.2%,17.6%
29,    65 years and over,12.9%,11.3%,14.5%
30,    75 years and over,5.6%,4.6%,6.6%
