,Label (Grouping),"Solano County, California!!Total!!Estimate","Solano County, California!!Male!!Estimate","Solano County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.1%,13.3%,12.9%
22,    15 to 17 years,4.2%,4.2%,4.1%
23,    18 to 24 years,10.1%,10.7%,9.4%
24,    15 to 44 years,40.5%,41.9%,39.1%
25,    16 years and over,79.4%,79.3%,79.6%
26,    18 years and over,76.5%,76.0%,76.9%
27,    60 years and over,18.3%,16.9%,19.7%
28,    62 years and over,15.7%,14.5%,16.9%
29,    65 years and over,12.3%,10.9%,13.6%
30,    75 years and over,5.2%,4.2%,6.2%
